Bigram	Bigram Count	Uni Count	Bigram Prob
Bigram	Bigram Count	Uni Count	Bigram Prob
Bigram	Bigram Count	Uni Count	Bigram Prob
<s> peter	1	4	0.3430232558139535
peter piper	4	4	1.0930232558139534
piper picked	4	4	1.0930232558139534
picked a	2	4	0.5930232558139534
a peck	3	3	1.069767441860465
peck of	4	4	1.0930232558139534
of pickled	4	4	1.0930232558139534
pickled peppers	4	4	1.0930232558139534
peppers </s>	2	4	0.5930232558139534
</s> <s>	3	4	0.8430232558139534
<s> a	1	4	0.3430232558139535
peppers peter	2	4	0.5930232558139534
picked </s>	2	4	0.5930232558139534
<s> if	1	4	0.3430232558139535
if peter	1	1	1.0232558139534884
<s> where	1	4	0.3430232558139535
where s	1	1	1.0232558139534884
s the	1	1	1.0232558139534884
the peck	1	1	1.0232558139534884
Bigram	Bigram Count	Uni Count	Bigram Prob
<s> peter	1	4	0.3430232558139535
peter piper	4	4	1.0930232558139534
piper picked	4	4	1.0930232558139534
picked a	2	4	0.5930232558139534
a peck	3	3	1.069767441860465
peck of	4	4	1.0930232558139534
of pickled	4	4	1.0930232558139534
pickled peppers	4	4	1.0930232558139534
peppers </s>	2	4	0.5930232558139534
</s> <s>	3	4	0.8430232558139534
<s> a	1	4	0.3430232558139535
peppers peter	2	4	0.5930232558139534
picked </s>	2	4	0.5930232558139534
<s> if	1	4	0.3430232558139535
if peter	1	1	1.0232558139534884
<s> where	1	4	0.3430232558139535
where s	1	1	1.0232558139534884
s the	1	1	1.0232558139534884
the peck	1	1	1.0232558139534884
Bigram	Bigram Count	Uni Count	Bigram Prob
<s> peter	1	4	0.3430232558139535
peter piper	4	4	1.0930232558139534
piper picked	4	4	1.0930232558139534
picked a	2	4	0.5930232558139534
a peck	3	3	1.069767441860465
peck of	4	4	1.0930232558139534
of pickled	4	4	1.0930232558139534
pickled peppers	4	4	1.0930232558139534
peppers </s>	2	4	0.5930232558139534
</s> <s>	3	4	0.8430232558139534
<s> a	1	4	0.3430232558139535
peppers peter	2	4	0.5930232558139534
picked </s>	2	4	0.5930232558139534
<s> if	1	4	0.3430232558139535
if peter	1	1	1.0232558139534884
<s> where	1	4	0.3430232558139535
where s	1	1	1.0232558139534884
s the	1	1	1.0232558139534884
the peck	1	1	1.0232558139534884
Bigram	Bigram Count	Uni Count	Bigram Prob
Bigram	Bigram Count	Uni Count	Bigram Prob
